Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
01,5B20210B5P,01,VK2021 K8.0 3/4 SR Pend BR 175,7.78,0.00,50,0,EA,A,,VIKING,5/16/2025,23876AD,,
01,5B20210B6P,01,VK2021 K8.0 3/4 SR Pend BR 200,7.78,0.00,50,0,EA,A,,VIKING,5/16/2025,23876AE,,
01,5B20210B8P,01,VK2021 K8.0 3/4 SR Pend BR 286,7.78,0.00,50,0,EA,A,,VIKING,5/16/2025,23876AG,,
01,5B20210C3P,01,VK2021 K8.0 3/4 SR Pend CH 155,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876FB,,
01,5B20210C5P,01,VK2021 K8.0 3/4 SR Pend CH 175,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876FD,,
01,5B20210C6P,01,VK2021 K8.0 3/4 SR Pend CH 200,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876FE,,
01,5B20210C8P,01,VK2021 K8.0 3/4 SR Pend CH 286,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876FG,,
01,5B2021053P,01,VK2021 K8.0 3/4 SR Pend WH 155,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876MB/W,,
01,5B2021055P,01,VK2021 K8.0 3/4 SR Pend WH 175,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876MD/W,,
01,5B2021056P,01,VK2021 K8.0 3/4 SR Pend WH 200,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025, 23876ME/W,,
01,5B2021058P,01,VK2021 K8.0 3/4 SR Pend WH 286,9.38,0.00,50,0,EA,A,,VIKING,5/16/2025,23876MG/W,,
01,5B20020B3U,01,VK2002 K8.0 1/2 SR BR UP 155,14.37,0.00,50,0,EA,A,,VIKING,5/16/2025,23871AB,,
01,5B20020B5U,01,VK2002 K8.0 1/2 SR BR UP 175,14.37,0.00,50,0,EA,A,,VIKING,5/16/2025,23871AD,,
01,5B20020B6U,01,VK2002 K8.0 1/2 SR BR UP 200,14.37,0.00,50,0,EA,A,,VIKING,5/16/2025,23871AE,,
01,5B20020B8U,01,VK2002 K8.0 1/2 SR BR UP 286,14.37,0.00,50,0,EA,A,,VIKING,5/16/2025,23871AG,,
01,5B35010B3U,01,VK3501 K8.0 3/4 QR BR UP 155,9.8,0.00,50,0,EA,A,,VIKING,5/16/2025,23877AB,,
01,5B35010B5U,01,VK3501 K8.0 3/4 QR BR UP 175,9.8,0.00,50,0,EA,A,,VIKING,5/16/2025,23877AD,,
01,5B35010B6U,01,VK3501 K8.0 3/4 QR BR UP 200,9.8,0.00,50,0,EA,A,,VIKING,5/16/2025,23877AE,,
01,5B35010B8U,01,VK3501 K8.0 3/4 QR BR UP 286,9.8,0.00,50,0,EA,A,,VIKING,5/16/2025,23877AG,,
01,5B35010C3U,01,VK3501 K8.0 3/4 QR CH UP 155,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877FB,,
01,5B35010C5U,01,VK3501 K8.0 3/4 QR CH UP 175,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877FD,,
01,5B35010C6U,01,VK3501 K8.0 3/4 QR CH UP 200,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877FE,,
01,5B35010C8U,01,VK3501 K8.0 3/4 QR CH UP 286,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877FG,,
01,5B3501053U,01,VK3501 K8.0 3/4 QR WH UP 155,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877MB/W,,
01,5B3501055U,01,VK3501 K8.0 3/4 QR WH UP 175,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877MD/W,,
01,5B3501056U,01,VK3501 K8.0 3/4 QR WH UP 200,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877ME/W,,
01,5B3501058U,01,VK3501 K8.0 3/4 QR WH UP 286,11.69,0.00,50,0,EA,A,,VIKING,5/16/2025,23877MG/W,,
01,5B35210B3P,01,VK3521 K8.0 3/4 QR Pend BR 155,11.44,0.00,50,0,EA,A,,VIKING,5/16/2025,23878AB,,
01,5B35210B5P,01,VK3521 K8.0 3/4 QR Pend BR 175,11.44,0.00,50,0,EA,A,,VIKING,5/16/2025,23878AD,,
01,5B35210B6P,01,VK3521 K8.0 3/4 QR Pend BR 200,11.44,0.00,50,0,EA,A,,VIKING,5/16/2025,23878AE,,
